City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Sioux Lookout,CA,2022-06-13 22:40:12,50.1001,-91.917,64.47,82,100,6.91
201,Baoro,CF,2022-06-13 22:40:13,5.6667,15.9667,65.84,96,100,1.68
202,Jalu,LY,2022-06-13 22:40:13,29.0331,21.5482,75.79,50,2,13.98
203,Ponta Delgada,PT,2022-06-13 22:40:14,37.7333,-25.6667,65.5,82,40,8.05
204,Aswan,EG,2022-06-13 22:40:14,24.0934,32.907,74.5,43,0,6.91
205,Yashalta,RU,2022-06-13 22:40:15,46.3395,42.2762,67.95,57,98,1.1
206,Kenitra,MA,2022-06-13 22:40:15,34.261,-6.5802,72.36,90,98,5.37
207,Pevek,RU,2022-06-13 22:40:17,69.7008,170.3133,36.03,77,51,6.29
208,Cayenne,GF,2022-06-13 22:39:37,4.9333,-52.3333,75.09,1,75,2.3
209,Pajapan,MX,2022-06-13 22:40:17,18.25,-94.7,80.94,73,100,7.45
210,Hay River,CA,2022-06-13 22:40:18,60.8156,-115.7999,71.56,26,40,8.05
211,Plouzane,FR,2022-06-13 22:37:31,48.3833,-4.6167,55.45,82,0,9.22
212,Cuiluan,CN,2022-06-13 22:40:19,47.72,128.648,66.31,73,100,1.81
213,Leningradskiy,RU,2022-06-13 22:40:20,69.3833,178.4167,33.75,91,100,8.86
214,Coihaique,CL,2022-06-13 22:40:02,-45.5752,-72.0662,43.41,87,75,3.44
215,Purpe,RU,2022-06-13 22:40:21,64.4803,76.6897,62.01,71,98,6.76
216,Biak,ID,2022-06-13 22:40:21,-0.9131,122.8766,77.43,79,33,4.32
217,Carbondale,US,2022-06-13 22:38:20,37.7273,-89.2168,96.8,53,0,14.97
218,Creel,MX,2022-06-13 22:40:22,27.75,-107.6333,56.79,82,97,10.65
219,Iquitos,PE,2022-06-13 22:40:22,-3.7481,-73.2472,77.04,69,75,3.44
220,Carnarvon,AU,2022-06-13 22:40:23,-24.8667,113.6333,63.39,56,3,11.65
221,Demak,ID,2022-06-13 22:40:23,-6.8909,110.6396,75.16,90,100,6.22
222,Bethel,US,2022-06-13 22:39:43,41.3712,-73.414,83.25,47,0,9.22
223,Naryan-Mar,RU,2022-06-13 22:40:24,67.6713,53.087,56.41,37,100,15.32
224,Santiago De Cao,PE,2022-06-13 22:40:24,-7.9589,-79.2392,64.53,72,8,8.05
225,Bonavista,CA,2022-06-13 22:40:25,48.6499,-53.1147,43.66,81,30,12.1
226,Nome,US,2022-06-13 22:39:36,64.5011,-165.4064,44.67,66,100,11.5
227,Barcelos,PT,2022-06-13 22:41:26,41.5388,-8.6151,71.74,79,19,3.02
228,Kaitangata,NZ,2022-06-13 22:41:26,-46.2817,169.8464,40.39,93,94,18.01
229,Lagoa,PT,2022-06-13 22:41:27,39.05,-27.9833,62.51,78,10,8.7
230,Takoradi,GH,2022-06-13 22:41:27,4.8845,-1.7554,77.52,80,10,7.94
231,Houma,US,2022-06-13 22:41:28,29.5958,-90.7195,93.02,66,0,9.22
232,Moerai,PF,2022-06-13 22:41:28,-22.4333,-151.3333,75.16,68,95,12.15
233,Margate,GB,2022-06-13 22:41:29,51.3813,1.3862,56.3,77,19,1.99
234,Vvedenka,UA,2022-06-13 22:41:29,49.8244,36.5075,61.81,88,17,2.59
235,Bereda,ES,2022-06-13 22:41:30,43.2686,-7.5406,61.57,97,69,3.31
236,Port Hedland,AU,2022-06-13 22:41:32,-20.3167,118.5667,62.65,59,0,8.05
237,Kirakira,SB,2022-06-13 22:41:32,-10.4544,161.9205,83.21,76,68,7.78
238,San Cristobal,VE,2022-06-13 22:41:33,7.7669,-72.225,77.18,98,88,4.59
239,Hamilton,US,2022-06-13 22:40:30,39.1834,-84.5333,86.63,83,100,47.18
240,Telemaco Borba,BR,2022-06-13 22:41:33,-24.3239,-50.6156,47.43,90,0,2.35
241,Souillac,MU,2022-06-13 22:41:34,-20.5167,57.5167,73.78,64,40,16.11
242,Srednekolymsk,RU,2022-06-13 22:41:35,67.45,153.6833,68.11,25,0,13.09
243,Touros,BR,2022-06-13 22:37:50,-5.1989,-35.4608,76.06,80,4,9.93
244,Lucea,JM,2022-06-13 22:41:37,18.451,-78.1736,85.86,75,100,15.82
245,Codrington,AU,2022-06-13 22:40:43,-38.2667,141.9667,47.71,75,100,13.24
246,Padre Bernardo,BR,2022-06-13 22:41:38,-15.35,-48.5,72.57,53,74,4.05
247,Pak Phanang,TH,2022-06-13 22:41:39,8.3511,100.202,78.46,87,82,5.64
248,Berdigestyakh,RU,2022-06-13 22:41:39,62.0989,126.6992,59.59,60,53,5.79
249,Zenzeli,RU,2022-06-13 22:41:39,45.9241,47.0474,69.85,52,70,10.4
250,Huangchuan,CN,2022-06-13 22:41:40,32.1272,115.0394,74.84,73,0,11.68
251,Ipilan,PH,2022-06-13 22:41:40,8.8431,117.9033,80.69,80,84,1.88
252,Suleja,NG,2022-06-13 22:41:41,9.1758,7.1808,74.39,75,89,2.64
253,Zhigansk,RU,2022-06-13 22:41:42,66.7697,123.3711,54.95,66,49,4.83
254,Starobaltachevo,RU,2022-06-13 22:41:42,56.0013,55.9213,48.76,85,10,2.73
255,Viedma,AR,2022-06-13 22:40:26,-40.8135,-62.9967,55.09,49,100,11.83
256,Humaita,BR,2022-06-13 22:41:43,-7.5061,-63.0208,75.43,75,83,1.97
257,Dolores,AR,2022-06-13 22:37:16,-36.3132,-57.6792,48.79,64,80,8.16
258,Bathsheba,BB,2022-06-13 22:41:44,13.2167,-59.5167,79.41,89,20,8.05
259,San Andres,CO,2022-06-13 22:41:44,12.5847,-81.7006,78.82,89,100,11.5
260,Bam,IR,2022-06-13 22:41:45,29.106,58.357,87.19,24,7,6.08
261,Kahului,US,2022-06-13 22:41:46,20.8947,-156.47,87.82,60,20,21.85
262,Saldanha,ZA,2022-06-13 22:39:49,-33.0117,17.9442,55.45,82,81,20.24
263,Horsham,GB,2022-06-13 22:41:47,51.064,-0.3272,59.25,75,0,4.61
264,Kupang,ID,2022-06-13 22:41:48,-10.1667,123.5833,78.42,73,82,10.71
265,Zhongxing,CN,2022-06-13 22:41:48,33.7039,118.6792,71.13,74,43,5.79
266,Opuwo,NA,2022-06-13 22:41:49,-18.0607,13.84,54.32,56,0,6.04
267,Acarau,BR,2022-06-13 22:41:49,-2.8856,-40.12,78.01,80,5,12.35
268,Grand-Santi,GF,2022-06-13 22:41:50,4.25,-54.3833,73.56,97,99,2.91
269,Senno,RU,2022-06-13 22:41:50,59.5336,33.9167,50.61,83,50,2.98
270,Necochea,AR,2022-06-13 22:41:52,-38.5473,-58.7368,53.76,56,100,12.28
271,Maiduguri,NG,2022-06-13 22:41:52,11.8464,13.1603,86.97,49,35,8.84
272,Adolfo Lopez Mateos,MX,2022-06-13 22:41:53,28.4667,-107.3,76.93,55,79,21.27
273,Aleksandrov Gay,RU,2022-06-13 22:42:54,50.147,48.5704,60.75,62,0,5.7
274,Iwaki,JP,2022-06-13 22:42:54,37.05,140.8833,63.77,70,100,7.0
275,Port Elizabeth,ZA,2022-06-13 22:40:32,-33.918,25.5701,66.09,52,0,2.3
276,Araouane,ML,2022-06-13 22:42:55,18.9048,-3.5265,95.95,23,10,6.87
277,Vila Franca Do Campo,PT,2022-06-13 22:42:56,37.7167,-25.4333,64.2,86,13,8.9
278,Mersing,MY,2022-06-13 22:42:56,2.4312,103.8405,73.31,100,20,4.61
279,Dhenkanal,IN,2022-06-13 22:42:57,20.6667,85.6,84.42,67,52,1.41
280,San Carlos De Bariloche,AR,2022-06-13 22:42:58,-41.1456,-71.3082,44.44,51,75,3.44
281,Ereymentau,KZ,2022-06-13 22:42:59,51.6199,73.1033,59.27,83,87,5.75
282,Lata,PT,2022-06-13 22:38:52,40.1629,-8.3327,66.69,79,4,1.23
283,Santa Maria,BR,2022-06-13 22:42:59,-29.6842,-53.8069,49.3,93,0,1.14
284,Painesville,US,2022-06-13 22:41:53,41.7245,-81.2457,82.35,60,0,9.22
285,Kyshtovka,RU,2022-06-13 22:43:01,56.555,76.6271,54.27,97,96,4.81
286,Visnes,NO,2022-06-13 22:43:01,59.3556,5.2242,51.85,87,75,11.5
287,Tolga,DZ,2022-06-13 22:43:02,34.7222,5.3785,86.81,18,19,2.48
288,Bengkulu,ID,2022-06-13 22:38:51,-3.8004,102.2655,75.4,84,72,3.51
289,Scarborough,GB,2022-06-13 22:43:02,54.2797,-0.4044,54.91,74,100,1.01
290,Luang Prabang,LA,2022-06-13 22:43:03,19.8856,102.1347,73.24,98,100,1.25
291,San Isidro,PE,2022-06-13 22:43:03,-12.1167,-77.05,62.02,80,100,12.66
292,Fallon,US,2022-06-13 22:43:04,39.4735,-118.7774,66.45,22,75,16.11
293,Sterling,US,2022-06-13 22:38:23,39.0062,-77.4286,90.9,65,75,6.91
294,Port Lincoln,AU,2022-06-13 22:43:05,-34.7333,135.8667,57.2,58,67,24.16
