City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
265,Vasilyevskiy Mokh,RU,57.0132,35.919,53.33,78,30,3.87,scattered clouds
266,Aleksandrov Gay,RU,50.147,48.5704,76.39,48,100,4.81,overcast clouds
267,Keetmanshoop,NA,-26.5833,18.1333,44.4,81,0,3.56,clear sky
268,Pankrushikha,RU,53.8319,80.3406,68.41,64,87,8.75,overcast clouds
269,Abu Kamal,SY,34.4506,40.9171,80.51,39,0,16.89,clear sky
270,Shubarshi,KZ,48.5872,57.1869,76.19,50,100,7.87,overcast clouds
271,Salalah,OM,17.0151,54.0924,82.49,89,75,10.36,broken clouds
272,Mindelo,CV,16.8901,-24.9804,76.55,83,75,12.66,broken clouds
273,Darhan,MN,49.4867,105.9228,71.22,55,25,7.99,scattered clouds
274,Ola,RU,59.5833,151.2833,55.15,92,100,7.25,overcast clouds
275,West Wendover,US,40.7391,-114.0733,81.61,14,0,19.57,clear sky
276,Ampanihy,MG,-24.7,44.75,56.55,73,0,9.91,clear sky
277,Piacabucu,BR,-10.4056,-36.4344,73.78,90,99,5.1,overcast clouds
278,Safaga,EG,26.7292,33.9365,82.38,43,0,15.12,clear sky
279,Mahebourg,MU,-20.4081,57.7,70.09,68,40,6.91,scattered clouds
280,Bobo Dioulasso,BF,11.1771,-4.2979,72.05,94,0,2.3,clear sky
281,Yook,PH,13.2261,121.964,81.88,81,100,4.21,overcast clouds
282,Waingapu,ID,-9.6567,120.2641,84.74,55,36,18.79,scattered clouds
283,Kearney,US,40.6995,-99.0815,75.56,67,0,10.36,clear sky
284,Smithers,CA,54.7804,-127.1743,52.12,62,75,9.22,broken clouds
285,Bundaberg,AU,-24.85,152.35,69.51,52,0,5.97,clear sky
286,Bria,CF,6.5423,21.9863,67.26,96,43,0.78,scattered clouds
287,Zhigansk,RU,66.7697,123.3711,59.7,49,67,9.64,broken clouds
288,Saint Anthony,US,45.0205,-93.218,75.92,63,0,0.0,clear sky
289,Eenhana,NA,-17.4667,16.3333,45.55,37,0,0.54,clear sky
290,Kalabo,ZM,-14.97,22.6814,50.92,62,0,6.46,clear sky
291,Sorgun,TR,39.8101,35.186,54.25,86,7,3.36,clear sky
292,Cockburn Town,TC,21.4612,-71.1419,81.09,74,45,10.09,scattered clouds
293,Hofn,IS,64.2539,-15.2082,44.69,55,100,10.69,overcast clouds
294,Bauchi,NG,10.5,10.0,73.74,79,100,3.83,overcast clouds
295,Mount Isa,AU,-20.7333,139.5,76.77,25,2,14.97,clear sky
296,Hambantota,LK,6.1241,81.1185,82.78,72,100,17.16,overcast clouds
297,Kindersley,CA,51.4668,-109.1682,59.02,94,75,20.71,broken clouds
298,Xichang,CN,27.8964,102.2634,69.91,95,100,1.05,light rain
299,Cururupu,BR,-1.8283,-44.8683,72.45,96,4,2.39,clear sky
300,Catia La Mar,VE,10.6038,-67.0303,75.4,94,40,8.01,scattered clouds
301,Brokopondo,SR,4.75,-55.1667,76.8,88,99,6.96,overcast clouds
302,Prainha,BR,-1.8,-53.48,72.59,97,39,2.77,scattered clouds
303,Manoleasa,RO,47.9833,27.0667,57.07,84,75,9.91,broken clouds
304,Matara,LK,5.9485,80.5353,80.58,82,100,11.12,overcast clouds
305,Yurimaguas,PE,-5.9,-76.0833,70.16,98,11,1.41,few clouds
306,Panaba,MX,21.2833,-88.2667,75.67,91,74,7.56,broken clouds
307,Abnub,EG,27.2696,31.1511,75.04,51,0,9.04,clear sky
308,Nelson Bay,AU,-32.7167,152.15,63.0,61,84,5.99,broken clouds
309,Semey,KZ,50.4111,80.2275,80.82,29,0,4.47,clear sky
310,Lerwick,GB,60.1545,-1.1494,51.8,95,100,20.24,overcast clouds
311,Tambopata,PE,-12.7333,-69.1833,75.18,68,76,0.76,broken clouds
312,Copiapo,CL,-27.3667,-70.3333,46.09,78,0,0.18,clear sky
313,Qasigiannguit,GL,68.8193,-51.1922,35.85,99,99,2.42,overcast clouds
314,Itapecerica,BR,-20.4725,-45.1256,59.09,63,5,2.13,clear sky
315,Axim,GH,4.8699,-2.2405,74.71,91,98,4.43,overcast clouds
316,Nuevo Progreso,MX,23.1667,-97.95,76.46,87,89,3.49,overcast clouds
317,Quimper,FR,48.0,-4.1,61.38,100,100,3.44,mist
318,Ipixuna,BR,-1.7625,-48.8043,70.95,98,86,2.93,overcast clouds
319,Pangnirtung,CA,66.1451,-65.7125,44.67,70,0,1.32,clear sky
320,Altay,CN,47.8667,88.1167,84.74,25,11,2.8,few clouds
321,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.28,99,84,2.13,broken clouds
322,Seoul,KR,37.5683,126.9778,78.37,78,75,8.05,moderate rain
323,Ust-Uda,RU,54.1742,103.0304,64.8,53,81,2.77,broken clouds
324,Palmer,US,42.1584,-72.3287,60.62,87,100,0.0,mist
325,Zhezkazgan,KZ,47.8043,67.7144,78.78,31,0,11.18,clear sky
326,Morondava,MG,-20.2833,44.2833,64.35,75,0,9.1,clear sky
327,Kamiiso,JP,41.8167,140.65,64.78,88,75,9.22,broken clouds
328,Bambanglipuro,ID,-7.95,110.2833,82.44,74,85,15.86,overcast clouds
329,Moscow,RU,55.7522,37.6156,61.03,67,0,8.43,clear sky
330,Butembo,CD,0.15,29.2833,54.93,91,96,3.06,overcast clouds
331,Alihe,CN,50.5667,123.7167,81.5,39,34,5.66,scattered clouds
332,Goderich,CA,43.7501,-81.7165,63.91,76,0,13.67,clear sky
333,Certesti,RO,46.0167,27.6167,56.07,66,37,5.03,scattered clouds
334,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,12.66,few clouds
335,Murray Bridge,AU,-35.1167,139.2667,65.12,53,75,18.39,broken clouds
336,Tromso,NO,69.6496,18.957,51.39,71,40,4.0,light rain
337,Qui Nhon,VN,13.7667,109.2333,85.87,62,99,8.77,heavy intensity rain
338,Nouadhibou,MR,20.931,-17.0347,68.45,84,11,17.34,few clouds
339,Boa Vista,BR,2.8197,-60.6733,78.78,83,40,3.44,scattered clouds
340,Hobyo,SO,5.3505,48.5268,77.47,80,99,21.68,overcast clouds
341,Coquimbo,CL,-29.9533,-71.3436,56.93,76,0,9.22,clear sky
342,Umm Kaddadah,SD,13.6017,26.6876,85.77,23,5,5.23,clear sky
343,Lebedinyy,RU,58.5167,125.5167,68.88,63,66,10.38,light rain
344,Bilibino,RU,68.0546,166.4372,64.65,33,100,21.56,overcast clouds
345,Skibbereen,IE,51.55,-9.2667,53.11,93,0,4.25,clear sky
346,Sobolevo,RU,54.4299,31.8996,53.04,91,42,8.88,scattered clouds
